x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,2,2,0,3,0,2,0,0,3,1,-0.8075949294340162,4639
2,0,1,3,3,1,2,0,0,0,0,2,-0.7368568629774003,4658
0,3,1,1,3,1,2,2,3,3,0,0,-0.5310513494337638,4685
1,1,2,1,3,3,2,3,0,3,2,0,-0.3432756960064599,4713
1,2,0,2,2,1,3,3,2,3,3,3,-0.5400662794919301,4738
1,0,2,1,1,2,2,1,2,2,0,0,-0.5400662794919301,4760
3,3,1,3,3,1,2,1,3,0,0,0,-0.8075949294340162,4786
3,3,0,2,2,3,1,3,2,0,0,1,-0.7278419329192339,4809
1,0,2,1,2,3,0,1,3,3,2,0,-0.5400662794919301,4834
3,3,2,1,1,0,0,3,2,0,0,3,-0.7368568629774003,4856
1,0,3,0,2,0,3,0,1,1,2,0,-0.8075949294340162,4877
1,2,1,1,3,2,0,3,0,1,0,3,-0.5310513494337638,4900
0,0,0,0,0,3,2,2,1,2,0,3,-0.5400662794919301,4917
3,0,0,0,2,2,2,1,0,3,0,2,-0.5400662794919301,4937
2,1,0,1,1,3,3,0,1,2,2,0,-0.5490812095500964,4962
0,0,0,1,1,1,3,1,2,0,0,1,-0.5400662794919301,4980
3,2,1,3,2,2,3,3,3,0,3,3,-0.2725376295498442,5003
2,2,2,0,3,1,2,1,2,1,1,1,-0.5400662794919301,5029
3,2,1,1,0,0,2,3,2,1,0,2,-0.7368568629774003,5050
1,3,2,1,2,0,1,3,3,3,0,2,-0.5400662794919301,5076
0,3,3,3,3,1,3,0,0,0,1,1,-0.5400662794919301,5098
0,1,1,1,3,3,1,2,3,3,1,0,-0.5400662794919301,5126
3,2,2,3,1,2,2,0,3,0,0,0,-0.33426076594829357,5148
2,2,0,2,0,3,1,2,0,1,2,0,-0.5490812095500964,5168
3,3,0,1,2,2,1,0,1,0,2,0,-0.5400662794919301,5190
2,3,2,3,1,0,2,0,1,2,1,1,-0.5400662794919301,5215
2,0,2,2,1,3,0,2,3,3,3,1,-0.5490812095500964,5258
3,2,3,1,3,3,2,1,1,2,0,3,-0.5400662794919301,5290
1,1,0,0,1,3,2,1,2,3,2,2,-0.8075949294340162,5318
3,0,1,0,1,2,2,0,3,1,1,0,-0.5400662794919301,5343
0,0,0,2,1,3,1,2,3,1,0,1,-0.807594929434016,5366
0,3,0,0,1,1,2,0,0,3,3,3,-0.7368568629774003,5389
3,0,1,0,3,0,3,3,2,3,3,0,-0.33426076594829357,5411
3,0,2,1,3,1,1,1,0,2,0,1,-0.2725376295498442,5434
1,2,1,0,0,2,1,3,0,1,1,2,-0.3432756960064599,5455
1,3,1,2,1,1,1,2,1,0,2,2,-0.5400662794919301,5484
0,2,1,2,0,0,0,0,3,2,2,0,-0.807594929434016,5500
3,3,0,1,0,3,2,2,2,2,3,3,-0.3432756960064599,5525
1,0,1,1,2,0,3,1,3,1,3,2,-0.3432756960064599,5549
2,2,0,1,2,1,3,0,1,0,3,3,-0.5400662794919301,5571
3,0,0,3,2,2,2,2,0,3,2,2,-0.7368568629774003,5592
2,1,2,1,2,2,2,3,3,0,2,3,-0.5400662794919301,5616
1,2,1,3,0,3,1,1,2,2,0,2,-0.5400662794919301,5639
2,2,1,0,0,3,2,1,1,0,0,0,-0.5400662794919301,5658
3,1,1,0,1,1,0,1,0,0,3,1,-0.5310513494337638,5682
0,3,0,2,3,3,3,2,3,2,3,2,-0.7368568629774003,5708
3,1,1,0,0,3,0,0,2,3,0,0,-0.5400662794919301,5786
0,0,0,3,2,2,1,1,3,3,2,3,-0.5400662794919301,5807
1,2,0,3,3,2,1,2,1,0,1,0,-0.5400662794919301,5830
0,3,0,0,1,0,2,3,2,1,3,3,-0.5400662794919301,5851
1,2,3,3,0,3,0,0,1,3,2,1,-0.5400662794919301,5876
1,1,3,3,0,0,3,3,0,1,1,0,-0.35229062606462624,5898
1,0,0,1,3,3,2,3,1,1,1,3,-0.5400662794919301,5927
2,3,0,1,1,0,3,2,3,3,3,0,-0.5400662794919301,5952
2,3,1,0,1,1,2,0,0,1,0,1,-0.5400662794919301,5976
0,0,0,3,2,1,0,1,0,3,3,3,-0.27253762954984406,5995
1,1,3,1,3,1,3,1,3,3,3,2,-0.5400662794919301,6026
0,0,3,1,1,0,2,2,3,0,0,0,-0.5400662794919301,6067
3,1,2,1,3,2,2,1,1,2,0,3,-0.27253762954984406,6111
2,2,2,1,0,2,3,0,3,2,0,0,-0.2725376295498442,6129
2,3,1,0,2,1,3,0,2,1,1,0,-0.27253762954984406,6153
0,0,0,2,2,0,1,1,3,3,0,3,-0.5400662794919301,6173
2,2,0,1,3,2,0,0,2,0,1,3,-0.7278419329192339,6191
0,3,3,3,0,1,0,2,1,0,0,1,-0.7368568629774003,6213
0,2,0,2,2,2,1,3,3,0,0,0,-0.2725376295498442,6230
3,3,3,2,3,3,3,1,1,2,1,0,-0.5400662794919301,6259
3,0,0,2,0,2,0,0,3,0,1,1,-0.5490812095500964,6277
3,1,1,0,1,1,3,1,1,1,2,0,-0.35229062606462624,6307
3,0,3,3,2,2,0,3,0,1,0,1,-0.5400662794919301,6327
2,0,3,3,0,2,1,3,1,0,3,0,-0.2725376295498442,6345
2,3,2,3,2,0,3,2,3,0,0,1,-0.7368568629774003,6366
3,1,0,0,2,0,2,0,0,2,0,0,-0.7368568629774003,6383
0,1,2,2,1,2,1,1,1,1,2,0,-0.5400662794919301,6409
0,1,3,3,3,0,0,1,2,3,3,0,-0.2725376295498442,6432
3,0,3,2,0,2,1,3,1,1,0,0,-0.5400662794919301,6453
3,0,0,2,3,0,0,0,0,2,0,0,-0.5400662794919301,6469
3,1,0,0,3,3,0,1,2,2,0,3,-0.5490812095500964,6493
0,0,1,1,3,1,2,0,1,1,0,0,-1.0661086493179361,6516
3,2,3,0,2,1,3,2,2,2,3,1,-0.3432756960064599,6540
3,0,2,2,2,2,0,1,0,2,1,1,-0.2725376295498442,6560
3,3,3,0,2,1,3,0,3,2,0,1,-0.5400662794919301,6585
1,2,1,2,0,3,1,3,0,3,0,0,-0.5400662794919301,6607
0,1,1,0,2,3,2,1,2,0,1,3,-1.0661086493179361,6629
3,3,1,3,0,2,3,2,1,3,2,3,-0.8075949294340162,6656
2,1,3,2,2,2,2,1,3,2,3,1,-0.5400662794919301,6680
2,2,1,3,0,1,3,1,0,3,0,3,-0.27253762954984406,6701
2,0,0,2,3,1,3,1,1,2,1,0,-0.33426076594829357,6725
2,3,1,0,3,0,0,1,2,0,2,0,-0.7368568629774003,6744
0,3,1,3,1,0,3,2,3,0,3,2,-0.7278419329192339,6767
2,3,0,0,0,3,3,3,3,0,0,1,-0.2725376295498442,6788
1,3,3,3,0,3,3,1,0,1,3,1,-0.35229062606462624,6814
0,2,2,3,3,1,0,3,0,1,3,0,-0.7368568629774003,6836
1,1,3,1,3,3,1,3,1,1,0,1,-0.5400662794919301,6868
2,0,2,0,1,2,3,0,3,1,3,3,-0.5400662794919301,6892
0,3,0,0,1,1,1,3,3,2,0,0,-0.5400662794919301,6915
1,2,0,2,1,3,3,0,2,1,1,0,-0.3432756960064599,6940
3,0,1,3,3,1,1,3,0,2,1,2,-0.5400662794919301,6964
1,2,3,0,0,2,1,3,3,2,1,3,-0.2725376295498442,6986
1,1,2,2,1,1,0,2,0,0,2,0,-0.5490812095500964,7010
3,2,3,2,3,0,2,0,3,2,2,2,-0.5400662794919301,7034
1,1,2,3,0,0,2,1,1,1,3,2,-0.3432756960064599,7060
2,2,2,2,2,1,3,0,1,3,2,3,-0.2725376295498442,7086
2,3,3,3,2,2,1,3,3,1,3,0,-0.2725376295498442,7111
3,1,1,1,0,2,3,0,2,0,2,1,-0.3432756960064599,7132
3,2,0,3,1,2,2,1,3,3,0,2,-0.5400662794919301,7158
3,3,2,2,1,1,0,1,0,3,0,2,-0.27253762954984406,7185
1,1,3,0,0,1,1,2,1,2,0,3,-0.5400662794919301,7210
0,2,0,2,1,2,2,0,0,3,3,2,-0.5400662794919301,7230
0,1,0,3,0,3,0,3,0,3,1,2,-1.0661086493179361,7251
0,2,1,1,2,0,2,3,1,2,2,3,-0.2725376295498442,7272
0,1,2,0,3,0,3,0,0,3,2,2,-0.807594929434016,7293
1,0,1,2,3,0,2,1,0,3,1,0,-0.5490812095500964,7315
3,0,2,3,1,1,2,3,3,1,1,0,-0.7368568629774003,7342
0,1,0,0,0,2,0,1,2,3,0,0,-0.27253762954984406,7359
2,3,1,3,0,1,0,2,0,2,1,0,-0.27253762954984406,7380
2,2,0,2,2,2,1,1,1,0,1,1,-0.2725376295498442,7400
0,0,3,0,0,2,0,3,1,0,2,3,-0.2725376295498442,7416
1,3,1,0,3,3,1,2,0,3,0,2,-0.5400662794919301,7443
1,0,1,3,1,3,0,2,1,2,1,1,-0.8075949294340162,7470
